categoryNumber,categoryName
0,감귤박물관
1,검멀레동굴
2,관덕정
3,구엄리돌염전
4,김녕미로공원
5,김영갑갤러리(두모악)
6,너븐숭이4.3기념관
7,더마파크
8,동백포레스트
9,마라도기념비
10,마라도성당
11,만장굴
12,보롬왓
13,북촌돌하르방공원
14,사려니숲길
15,산굼부리
16,새섬새연교
17,서귀포치유의숲
18,성이시돌목장
19,소인국테마파크
20,쇠소깍
21,아침미소목장
22,아쿠아플라넷제주
23,약천사
24,에코랜드테마파크
25,여미지식물원
26,오설록티뮤지엄
27,외돌개
28,용두암
29,용머리해안
30,이중섭거주지
31,이중섭미술관
32,점보빌리지
33,제주공룡랜드
34,제주도립미술관
35,제주돌문화공원
36,제주목관아
37,제주산방산탄산온천
38,제주유리박물관
39,제주유리의성
40,제주커피박물관바움
41,제주항공우주박물관
42,제주허브동산
43,청수곶자왈
44,카멜리아힐
45,테디베어뮤지엄제주
46,한라산영실
47,한림공원
48,해녀박물관
49,협재굴(한림공원)
