categoryNumber,categoryName
0,감귤박물관
1,검멀레동굴
2,관덕정
3,구엄리돌염전
4,김녕미로공원
5,김영갑갤러리(두모악)
6,너븐숭이4.3기념관
7,더마파크
8,동백포레스트
9,마라도기념비
10,마라도성당
11,만장굴
12,백록담
13,보롬왓
14,북촌돌하르방공원
15,사려니숲길
16,산굼부리
17,산방산
18,새섬새연교
19,서귀포치유의숲
20,성이시돌목장
21,소인국테마파크
22,쇠소깍
23,아침미소목장
24,아쿠아플라넷제주
25,약천사
26,에코랜드테마파크
27,여미지식물원
28,오설록티뮤지엄
29,외돌개
30,용두암
31,용머리해안
32,우도 등대
33,이중섭거주지
34,이중섭미술관
35,점보빌리지
36,제주공룡랜드
37,제주도립미술관
38,제주돌문화공원
39,제주목관아
40,제주산방산탄산온천
41,제주유리박물관
42,제주유리의성
43,제주커피박물관바움
44,제주항공우주박물관
45,제주허브동산
46,천지연 폭포
47,청수곶자왈
48,카멜리아힐
49,테디베어뮤지엄제주
50,한라산영실
51,한림공원
52,해녀박물관
53,협재굴(한림공원)
